Facility Name|Health Facility Type|Catchment Area|Ownership Major Classification|Region Name                                             |Region PSGC|Province Name |Province PSGC|City/Municipality Name|Barangay Name|Latitude|Longitude|Precision Latitude/Longitude|catchment_area_icon
REPRO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|POBLACION|14.566877|121.03062|Low|pin
RIZAL HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|RIZAL|14.538867|121.060904|High|pin
SAN ANTONIO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|SAN ANTONIO|14.565224|121.004139|High|pin
SAN ISIDRO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|SAN ISIDRO|14.55151|121.00442|High|pin
SANTA CRUZ HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|SANTA CRUZ|14.568082|121.016077|High|pin
SINGKAMAS HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|SINGKAMAS|14.573493|121.010939|High|pin
SOUTH CEMBO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|SOUTH CEMBO|14.559431|121.049001|High|pin
TEJEROS HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|TEJEROS|14.574712|121.014617|High|pin
VALENZUELA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|VALENZUELA|14.567711|121.023189|High|pin
WEST REMBO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MAKATI|WEST REMBO|14.562906|121.059984|High|pin
ALABANG HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|ALABANG|14.418945|121.044649|High|pin
AYALA-ALABANG HEALTH CENTER|Barangay Health Station|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|ALABANG|14.4235055|121.0318588|High|pin
BAGONG SILANG HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|SUCAT|14.444816|121.04172|High|pin
BAYANAN HEALTH CENTER (ANNEX)|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|BAYANAN|14.4083723|121.043926|High|pin
BAYANAN HEALTH CENTER (MAIN)|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|BAYANAN|14.410372|121.051376|High|pin
BULI HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|BULI|14.4424488|121.0513607|High|pin
CUPANG HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|CUPANG|14.4391378|121.0504134|High|pin
EMERGENCY CARE CLINIC|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|POBLACION|14.3736255|121.0238062|High|pin
MUNTINLUPA CITY HEALTH OFFICE|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|POBLACION|14.387625|121.046126|High|pin
POBLACION HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|POBLACION|14.3899028|121.0482291|High|pin
PUTATAN HEALTH CENTER (BAGONG LIPUNAN)|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|PUTATAN|14.3950221|121.0498869|High|pin
PUTATAN HEALTH CENTER ANNEX|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|PUTATAN|14.39488219|121.0498467|Medium|pin
SAN ROQUE MEDICAL CLINIC|Infirmary|Yes|Private|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|ALABANG|14.4192392|121.04706|Medium|pin
SITIO SANTO NIÑO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|CUPANG|14.439836|121.043174|High|pin
SOUTHVILLE HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|POBLACION|14.3737494|121.0238265|High|pin
SUCAT HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|SUCAT|14.456936|121.053169|High|pin
TUNASAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|TUNASAN|14.376872|121.048053|High|pin
VICTORIA HOMES HEALTH CENTER|Barangay Health Station|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF MUNTINLUPA|TUNASAN|14.362676|121.014297|High|pin
BACLARAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|BACLARAN|14.532045|120.99798|High|pin
BF HOMES HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|B. F. HOMES|14.4506181|121.0197552|High|pin
DON BOSCO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|DON BOSCO|14.481854|121.037461|High|pin
DON GALO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|DON GALO|14.505489|120.991156|High|pin
LA HUERTA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|LA HUERTA|14.5000028|120.9914836|High|pin
MARCELO GREEN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|MARCELO GREEN VILLAGE|14.4764275|121.0401443|High|pin
MERVILLE HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|MERVILLE|14.5001646|121.0263988|High|pin
MOONWALK HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|MOONWALK|14.4915749|121.0142935|High|pin
SAN ANTONIO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|SAN ANTONIO|14.4717354|121.0305687|High|pin
SAN DIONISIO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|SAN DIONISIO|14.4948166|120.9895504|High|pin
SAN ISIDRO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|SAN ISIDRO|14.4693183|121.0111178|High|pin
SAN MARTIN DE PORRES HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|SAN MARTIN DE PORRES|14.4944309|121.042745|High|pin
SANTO NIÑO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|SANTO NIÑO|14.5008671|120.9953782|High|pin
SILVERIO HEALTH CENTER|Barangay Health Station|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|SAN ISIDRO|14.47126|121.01233|Medium|pin
SUN VALLEY HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|SUN VALLEY|14.4899472|121.0323247|High|pin
TAMBO HEALTH CENTER (ADELINA RODRIGUEZ)|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|TAMBO|14.5154425|120.9961249|High|pin
VITALEZ HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|CITY OF PARA?AQUE|VITALEZ|14.5079464|121.0061084|High|pin
CUYEGKENG HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PASAY CITY|BARANGAY   3|14.557538|120.989987|High|pin
DOÑA MARTA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PASAY CITY|BARANGAY 147|14.536096|121.001708|High|pin
DOÑA NENA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PASAY CITY|BARANGAY 186|14.531027|121.004542|High|pin
DR. ELVIRA M. LAGROSA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PASAY CITY|BARANGAY  76|14.5452662|120.9934909|High|pin
KALAYAAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PASAY CITY|BARANGAY 201|14.508328|121.028968|High|pin
LEVERIZA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PASAY CITY|BARANGAY  23|14.5538936|120.9946589|High|pin
M. DELA CRUZ HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PASAY CITY|BARANGAY 128|14.5488358|121.007492|High|pin
MALIBAY HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PASAY CITY|BARANGAY 174|14.5340352|121.0093594|High|pin
MIA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PASAY CITY|BARANGAY 194|14.514415|121.00348|High|pin
SAN ISIDRO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PASAY CITY|BARANGAY  48|14.5561414|120.9986947|High|pin
SAN PABLO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PASAY CITY|BARANGAY 179|14.530244|121.008782|High|pin
SAN ROQUE HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PASAY CITY|BARANGAY 138|14.5417696|121.0067027|High|pin
VILLAMOR HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PASAY CITY|BARANGAY 183|14.5252886|121.0118283|High|pin
MASIKAP HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PATEROS|SANTA ANA|14.5420727|121.0687239|High|pin
MAYOR DELFIN C. SALONGA MEMORIAL HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PATEROS|SANTO ROSARIO-KANLURAN|14.5507302|121.0699442|High|pin
MAYOR JUAN R. SANCHEZ MEMORIAL HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PATEROS|SANTA ANA|14.5470047|121.0715405|High|pin
MAYOR MOISES R. FLORES MEMORIAL HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PATEROS|SAN PEDRO|14.5471319|121.0660355|High|pin
QUINTIN DE BORJA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|PATEROS|AGUHO|14.542787|121.066432|High|pin
BAGONG TANYAG HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|TANYAG (BAGONG TANYAG)|14.478055|121.049484|High|pin
BAGUMBAYAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|BAGUMBAYAN|14.473501|121.059066|High|pin
BAMBANG HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|BAMBANG|14.526575|121.069444|High|pin
CALZADA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|CALZADA|14.53374|121.079854|High|pin
CENTRAL BICUTAN HEALTH CENTER DPWH|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|CENTRAL BICUTAN|14.49197|121.05409|High|pin
CENTRAL BICUTAN HEALTH CENTER OSANO|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|CENTRAL BICUTAN|14.49377|121.05106|High|pin
CENTRAL BICUTAN OSANO SUPER HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|CENTRAL BICUTAN|14.493751|121.051035|High|pin
CENTRAL SIGNAL HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|SIGNAL VILLAGE|14.51156|121.056738|High|pin
FORT BONIFACIO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|FORT BONIFACIO|14.52955|121.023376|High|pin
HAGONOY HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|HAGONOY|14.512683|121.0702|High|pin
IBAYO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|IBAYO-TIPAS|14.541885|121.084748|High|pin
KATUPARAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|KATUPARAN|14.516242|121.06095|High|pin
LIGID HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|LIGID-TIPAS|14.542015|121.080372|High|pin
LIGID SUPER HEALTH CENTER (SPECIAL HEALTH UNIT)|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|LIGID-TIPAS|14.542637|121.081666|High|pin
MAHARLIKA VILLAGE HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|MAHARLIKA VILLAGE|14.498891|121.053248|High|pin
NAPINDAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|NAPINDAN|14.540292|121.096082|High|pin
NEW LOWER BICUTAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|LOWER BICUTAN|14.505382|121.065269|High|pin
NORTH DAANG HARI HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|NORTH DAANG HARI|14.486858|121.04694|High|pin
NORTH SIGNAL HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|SIGNAL VILLAGE|14.515015|121.055605|High|pin
NORTH SIGNAL SUPER HEALTH CENTER (SPECIAL HEALTH UNIT)|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|NORTH SIGNAL VILLAGE|14.514983|121.055597|High|pin
OLD LOWER BICUTAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|LOWER BICUTAN|14.489457|121.061056|High|pin
PALAR HEALTH STATION|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|WESTERN BICUTAN|14.533571|121.056038|High|pin
PALINGON HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|PALINGON|14.538239|121.080131|High|pin
PINAGSAMA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|PINAGSAMA|14.521305|121.05517|High|pin
SAN MIGUEL HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|SAN MIGUEL|14.517774|121.074724|High|pin
SANTA ANA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|SANTA ANA|14.526692|121.074621|High|pin
SITIO IMELDA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|UPPER BICUTAN|14.501149|121.052512|High|pin
SOUTH DAANG HARI HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|SOUTH DAANG HARI|14.471922|121.048332|High|pin
SOUTH SIGNAL HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|SIGNAL VILLAGE|14.504024|121.056566|High|pin
TAGIG DOCTORS HOSPITAL|Infirmary|Yes|Private|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|BAGUMBAYAN|14.478849|121.061085|High|pin
TAGUIG CITY HEALTH OFFICE|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|TUKTUKAN|14.528361|121.069038|High|pin
TUKTUKAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|TUKTUKAN|14.528188|121.07179|High|pin
UPPER BICUTAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|UPPER BICUTAN|14.497159|121.050255|High|pin
USUSAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|USUSAN|14.535598|121.06873|High|pin
VCARE DIAGNOSTICS|City Health Office|Yes|Private|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|TUKTUKAN||||pin
WAWA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|WAWA|14.523736|121.073735|High|pin
WESTERN BICUTAN HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, FOURTH DISTRICT (Not a Province)|137600000|TAGUIG CITY|WESTERN BICUTAN|14.510132|121.034491|High|pin
AMADO T. REYES HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, SECOND DISTRICT (Not a Province)|137400000|CITY OF MANDALUYONG|BUROL|14.58959|121.02747|Medium|pin
BAGONG SILANG HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, SECOND DISTRICT (Not a Province)|137400000|CITY OF MANDALUYONG|BAGONG SILANG|14.591184|121.03041|High|pin
BARANGKA IBABA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, SECOND DISTRICT (Not a Province)|137400000|CITY OF MANDALUYONG|BARANGKA IBABA|14.571482|121.041165|High|pin
BARANGKA ILAYA HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, SECOND DISTRICT (Not a Province)|137400000|CITY OF MANDALUYONG|BARANGKA ILAYA|14.569054|121.045007|High|pin
BLOCK 37 HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, SECOND DISTRICT (Not a Province)|137400000|CITY OF MANDALUYONG|ADDITION HILLS|14.582612|121.033824|High|pin
BLOCK 38 (WELFAREVILLE) HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, SECOND DISTRICT (Not a Province)|137400000|CITY OF MANDALUYONG|ADDITION HILLS|14.580356|121.03586|High|pin
BLOCK 39 (WELFAREVILLE) HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, SECOND DISTRICT (Not a Province)|137400000|CITY OF MANDALUYONG|ADDITION HILLS|14.580462|121.036875|High|pin
BUAYANG BATO HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, SECOND DISTRICT (Not a Province)|137400000|CITY OF MANDALUYONG|BUAYANG BATO|14.568802|121.051086|High|pin
EMPLOYEES CLINIC|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, SECOND DISTRICT (Not a Province)|137400000|CITY OF MANDALUYONG|PLAINVIEW|14.577439|121.034289|High|pin
HARAPIN ANG BUKAS HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, SECOND DISTRICT (Not a Province)|137400000|CITY OF MANDALUYONG|HARAPIN ANG BUKAS|14.592228|121.026303|High|pin
HIGHWAY HILLS HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, SECOND DISTRICT (Not a Province)|137400000|CITY OF MANDALUYONG|HIGHWAY HILLS|14.581319|121.048671|High|pin
ISAAC LOPEZ HEALTH CENTER|Rural Health Unit|Yes|Government|NATIONAL CAPITAL REGION (NCR)|130000000|NCR, SECOND DISTRICT (Not a Province)|137400000|CITY OF MANDALUYONG|HAGDANG BATO ITAAS|14.5901|121.02962|Medium|pin
